Category: All categories

Week,nutralite butter: (Worldwide),healthy butter: (Worldwide)
2022-08-07,2,75
2022-08-14,3,75
2022-08-21,3,68
2022-08-28,2,71
2022-09-04,2,64
2022-09-11,2,74
2022-09-18,3,69
2022-09-25,2,67
2022-10-02,1,63
2022-10-09,2,71
2022-10-16,2,68
2022-10-23,<1,70
2022-10-30,2,68
2022-11-06,3,68
2022-11-13,3,66
2022-11-20,2,55
2022-11-27,3,62
2022-12-04,3,61
2022-12-11,4,58
2022-12-18,2,56
2022-12-25,2,57
2023-01-01,3,89
2023-01-08,1,95
2023-01-15,2,100
2023-01-22,1,96
2023-01-29,1,99
2023-02-05,2,94
2023-02-12,2,72
2023-02-19,1,91
2023-02-26,2,91
2023-03-05,2,93
2023-03-12,1,79
2023-03-19,1,90
2023-03-26,2,86
2023-04-02,1,80
2023-04-09,2,69
2023-04-16,1,72
2023-04-23,1,83
2023-04-30,2,82
2023-05-07,3,80
2023-05-14,1,67
2023-05-21,1,67
2023-05-28,2,71
2023-06-04,2,79
2023-06-11,1,78
2023-06-18,2,75
2023-06-25,2,70
2023-07-02,3,70
2023-07-09,1,72
2023-07-16,1,75
2023-07-23,1,73
2023-07-30,2,91
